feature_family,environment,model,n,MAE,RMSE,R2,Spearman_rho,median_alpha
raw_intensity,salinity,fluorescence_plus_env,29,7.760924100520529,10.276824191399168,0.870822396649077,0.5842364532019703,1.7782794100389228
raw_intensity,pH,fluorescence_plus_env,29,6.838581888419722,8.802709376852922,0.9052231879885777,0.6793103448275861,1.7782794100389228
raw_intensity,temperature,fluorescence_plus_env,29,8.233401573261872,11.637301872766187,0.8343566637962243,0.6507389162561574,1.7782794100389228
raw_intensity,DO,fluorescence_plus_env,29,6.722548367623379,8.512972515863257,0.9113595746636367,0.6039408866995073,1.7782794100389228
raw_intensity,ORP,fluorescence_plus_env,29,5.735421346667492,7.783723487237504,0.9258955705843579,0.7201970443349752,1.0
raw_intensity,turbidity,fluorescence_plus_env,29,7.548877675294235,9.772996383329257,0.8831779441122839,0.6443349753694579,3.1622776601683795
normalized_shape,salinity,fluorescence_plus_env,29,11.375690673812239,14.874560105470826,0.7293814076764475,0.682758620689655,3.1622776601683795
normalized_shape,pH,fluorescence_plus_env,29,10.780838084938269,14.089492582234334,0.757193631090326,0.6822660098522165,1.0
normalized_shape,temperature,fluorescence_plus_env,29,12.695297821908158,16.863362812984743,0.6521774485101823,0.447783251231527,0.1
normalized_shape,DO,fluorescence_plus_env,29,11.015272310066957,15.713300980986793,0.698001888362688,0.7413793103448275,10.0
normalized_shape,ORP,fluorescence_plus_env,29,11.01858620115805,15.064308131788653,0.7224330524212115,0.7349753694581279,1.7782794100389228
normalized_shape,turbidity,fluorescence_plus_env,29,12.649700934737693,16.666211800205975,0.6602627538353496,0.6512315270935959,5.623413251903491
mechanistic_ratio,salinity,fluorescence_plus_env,29,18.790767395594916,29.636326962526873,-0.07428156644353412,-0.8669950738916254,1000.0
mechanistic_ratio,pH,fluorescence_plus_env,29,18.911616232936716,30.0965723154692,-0.1079073471001879,-0.7423645320197043,1000.0
mechanistic_ratio,temperature,fluorescence_plus_env,29,18.87632179405676,29.89721185742447,-0.09327834682844638,-0.7187192118226599,1000.0
mechanistic_ratio,DO,fluorescence_plus_env,29,16.57084004558534,23.911369231320954,0.3006762781521407,0.4241379310344827,1.7782794100389228
mechanistic_ratio,ORP,fluorescence_plus_env,29,18.842293915875782,30.730451591097648,-0.15506720522801865,0.06108374384236451,177.82794100389228
mechanistic_ratio,turbidity,fluorescence_plus_env,29,18.73950014855046,29.612917380838148,-0.07258509779611755,-0.7064039408866993,1000.0
raw_intensity,salinity+pH,fluorescence_plus_env,29,7.078703849620259,9.202857437763578,0.8964107335845081,0.6832512315270934,1.7782794100389228
raw_intensity,salinity+pH+temperature,fluorescence_plus_env,29,8.761481298099778,13.720799691709916,0.7697348481667236,0.6591133004926107,1.7782794100389228
raw_intensity,salinity+pH+temperature+DO+ORP+turbidity,fluorescence_plus_env,29,7.244974341932531,9.252288339671933,0.8952949360860343,0.660591133004926,1.7782794100389228
