feature_family,environment,model,n,MAE,RMSE,R2,Spearman_rho,median_alpha
raw_intensity,salinity,fluorescence_only,29,7.273336136560735,9.423564063790298,0.8913825147908196,0.6684729064039406,1.7782794100389228
raw_intensity,salinity,corrected_fluorescence,29,8.283193205595424,10.721240876775603,0.8594083668547623,0.5645320197044333,0.1778279410038923
normalized_shape,salinity,fluorescence_only,29,11.562516713495537,14.70628851972592,0.7354696339538649,0.6477832512315269,1.7782794100389228
normalized_shape,salinity,corrected_fluorescence,29,12.707145069456685,16.593247698062065,0.6632309581949177,0.673399014778325,3.1622776601683795
mechanistic_ratio,salinity,fluorescence_only,29,18.77161461362644,29.596448563450576,-0.07139242258430167,-0.8660098522167486,1000.0
mechanistic_ratio,salinity,corrected_fluorescence,29,18.767901337767203,29.599335081478188,-0.0716014168725787,-0.8369458128078816,1000.0
