permutation,delta_mae
0,-1.678603545723945
1,-1.367492060314616
2,-0.13376300077759495
3,-0.048235011224281976
4,0.7143940426810182
5,0.04480371520380455
6,-0.28283754692279395
7,0.8554059784673402
8,1.607264789519907
9,-0.9012262754352118
10,-0.37109174733293937
11,-2.03157443122811
12,0.8374531730104682
13,-0.29670821390791957
14,-0.1169182087322751
15,-1.6692583679804027
16,0.7097003350409476
17,0.05063154640038903
18,0.9762747364953359
19,-0.0725296880691717
20,-2.372788635924051
21,1.071218026585
22,0.6270091412872256
23,-0.5308773665632209
24,-1.669614949216033
25,-0.3491176700797878
26,0.7204162739191871
27,-1.6525185787899677
28,0.09559189859679051
29,-0.07735451388531622
30,-2.6301971297949702
31,-1.5826655737975042
32,0.1489334718159796
33,-0.6827648397674064
34,0.0667260823202005
35,-2.59599920129992
36,-0.24052650632428296
37,-0.3746912404760403
38,-3.1377397378473493
39,-0.09343000171102034
40,-0.04971224817816644
41,-1.277652664440014
42,0.042594413931242414
43,-0.6296056921036852
44,-0.08918138375343165
45,-1.7404508253152695
46,1.777215975507425
47,0.6937855671337845
48,-0.7842686622481274
49,-2.7654228016450926
50,-0.35081147958674297
51,-1.9373065582892703
52,0.4476812430023047
53,-6.041833681651337
54,-1.1511482323893887
55,-3.3035869995332074
56,-0.21749230113468965
57,0.2637985582770739
58,-2.3969922055178277
59,-1.347792137457425
60,-0.4551641011301433
61,0.23271089694089486
62,0.5672058381230194
63,-1.2708876706812955
64,-5.904803435635134
65,-2.429659104484303
66,-1.6219499950966156
67,0.8229093528043494
68,-0.3259375408515268
69,0.7969113539974533
70,0.22543947502742334
71,-1.8289112350146919
72,-1.037713719570755
73,-1.012860034347609
74,-0.9986879766823442
75,-0.44242759214226623
76,0.33946841582745435
77,-3.081770593573374
78,0.07516362842879243
79,-0.5273141529298906
80,-0.12915037397414064
81,-2.2156745870810006
82,0.2060837609794195
83,-3.2005514487913125
84,-1.9252238671126278
85,-3.79445788758966
86,0.5799196788592074
87,0.1945837116027489
88,-4.2491110352222226
89,-1.0702018752529288
90,-0.18043025584643324
91,-0.07049001931023824
92,-0.3336412667289679
93,0.5786547969582365
94,0.3740936918214297
95,-3.735450258118709
96,0.39109409254930316
97,-1.4194174997924964
98,0.5396163204527031
99,-1.884157402372539
100,-2.0572683994434886
101,-0.7230852761568451
102,-0.568570130485746
103,0.5026038463162239
104,-1.2522716180015614
105,-0.055447597531769865
106,-0.01852757669749394
107,-0.8856687120304834
108,-1.0833445249692808
109,-0.9970549211990054
110,-3.697623714009099
111,-0.8710611839933105
112,0.01159221623520068
113,-0.16330619616341124
114,-0.43849227615940034
115,-3.598179033778205
116,0.42673303150481257
117,0.07111846155404677
118,-0.4002589835067347
119,0.23855695762141238
120,-1.0022807821739175
121,-2.4290939687241906
122,-0.7050923010035142
123,-0.216355655691431
124,-1.212193910552708
125,-0.6822345617211765
126,0.2903369005811012
127,-2.3155491721085237
128,-3.5989257110395876
129,-2.9178331138594444
130,-1.6414361906259174
131,-0.08920891664684483
132,-0.7235827806212596
133,-2.284473648444461
134,-0.20600209553355242
135,-3.793882646558089
136,-0.10290222146056305
137,0.14254704901079762
138,-0.6558608679511515
139,0.2079996719683983
140,-0.16245457121829876
141,-3.0939624500968392
142,0.36492075379517175
143,-0.3393024752623175
144,-2.749881861967191
145,0.11306190095117952
146,0.666241226173943
147,-0.4141152124886105
148,-0.12126297524451601
149,-1.2777364016148542
150,-0.5033944428328123
151,-2.1265588151442074
152,-1.4082159228989184
153,0.6981436236852447
154,-0.9218800714701736
155,-0.4290837675623189
156,-0.11745023048963965
157,-2.2123596517808295
158,-0.14036796421126319
159,-1.7719622173010272
160,-0.4217628818265462
161,-1.7094261401710984
162,0.39662621007048227
163,-2.6987734455462
164,-0.06525503745220362
165,0.8045685042029893
166,-0.66777996664515
167,-0.2835004809566595
168,-0.3230633309434898
169,-2.235250798817514
170,-1.82928946005436
171,0.007750607598902448
172,-0.2723916339848902
173,0.3305491398962097
174,0.43506680101820905
175,-0.0016382026952799222
176,0.09777742650140375
177,0.5032043877117536
178,0.04400881056230421
179,-1.2539915451010888
180,0.8151450137344138
181,-0.8580910970676907
182,-0.6045416596070377
183,-2.6398834847318273
184,-2.611787637280397
185,-0.7836306229679533
186,0.042448123782053315
187,0.7208042913150994
188,-0.7671748775612333
189,-1.3267234793207905
190,-2.6032140780369613
191,0.08732939132430229
192,-2.1571129540183556
193,0.18136699510711551
194,0.2524662915163107
195,0.5853468889683962
196,-0.5977618185540496
197,-1.292665583805455
198,0.1289128386960945
199,-1.6282773275951783
200,0.6130502291925204
201,0.16686347497657472
202,-0.4154938396978478
203,-2.208868808992408
204,-2.9554028266739607
205,0.039318090268629646
206,-4.63435265615974
207,0.16047501842145007
208,-2.5579744824458945
209,-1.0580033541114506
210,0.1541419048768411
211,-6.244270859072877
212,0.6739605886919966
213,-2.0397333145564254
214,0.4944322022054042
215,-0.8377316257505001
216,-1.3288774041880274
217,-0.040506970305695056
218,-1.6287221675111887
219,-4.485506576562102
220,0.09714516357115066
221,-2.0934827669832465
222,-0.4813513220658221
223,2.393140873629619
224,-2.8110970060239424
225,-0.22487827226455348
226,-0.2834380949111619
227,-0.8921980801251603
228,0.20190706543453985
229,-1.4182256593843885
230,0.6654283150426181
231,-3.2975659110966387
232,-1.29938989668182
233,-0.20299376574772765
234,-0.6245075945245837
235,-0.858245749210063
236,-0.44786389015564776
237,0.6210456399560291
238,-0.23809609870717097
239,-0.02601769648594665
240,-0.49798478655651834
241,0.4257079507069266
242,-2.9349126137588044
243,-0.7367408091907901
244,-3.317035314293685
245,0.05847564839333508
246,0.33685601121793685
247,-0.25882706414819623
248,-0.6800150269375029
249,-0.3037295246879159
250,-1.3329806081449291
251,-0.9811362979600418
252,-1.0571023080901565
253,0.3328023023032731
254,-0.04794562291660043
255,-0.10941334847737494
256,-0.32595791811902686
257,-0.7747776984765622
258,-0.15113392704781248
259,-0.2561128986852417
260,-6.334848875471122
261,-0.23218515316883614
262,-0.5764608329494134
263,0.24795763178257513
264,-2.106441708629321
265,-1.5928141074625213
266,0.5467629782914605
267,-0.3888450535422754
268,-0.6048393071110638
269,-0.2361120787184925
270,1.2785076552183856
271,-1.633778555482273
272,-1.009335191329468
273,0.099330438787395
274,-0.9162643850053076
275,0.6131232047663948
276,-2.1424881333223382
277,0.3798473784926282
278,-1.5105590594439509
279,-0.25202164153247164
280,0.13760074001083034
281,-1.4007391205950128
282,-0.05355158090578982
283,-0.08640554721959859
284,-0.11096404486398459
285,-1.4890698844992674
286,-0.7209908637142064
287,-0.7499169198272586
288,-0.8485089993964685
289,0.09691519419807726
290,0.7525614471640543
291,0.14994926076798265
292,-0.15813654903110574
293,-0.33676636915009084
294,-3.191853827493384
295,-0.17892323610255545
296,-0.3830935205427579
297,-1.4945954235220178
298,0.4057323118880074
299,-0.5529641093828515
300,-0.8210749747609718
301,-1.2345037496094164
302,0.6952147840398606
303,1.5867143875770378
304,-1.574733688532664
305,-2.8999794157274756
306,-1.4144290581095778
307,-2.8016277904021187
308,0.22261351440184907
309,0.16296991340799405
310,-0.02756988931262505
311,-0.08210105556368319
312,-0.5669037790315867
313,-6.818457570356944
314,-1.3805256306191929
315,-0.40053092921983513
316,-0.5835937613568465
317,-0.09790771615160399
318,0.2433198253998734
319,-2.4114588051952524
320,-1.007524709220851
321,0.4703868425952358
322,-0.2943460911683191
323,-2.850564742435397
324,0.5202986210010696
325,-0.8180979189735655
326,-0.6393814749725735
327,-1.9536547541264362
328,-2.6387406406716654
