feature_family,environment,model,n,MAE,RMSE,R2,Spearman_rho,median_alpha
raw_intensity,salinity,fluorescence_only,29,7.273336136560735,9.423564063790298,0.8913825147908196,0.6684729064039406,1.7782794100389228
raw_intensity,salinity,corrected_fluorescence,29,8.283193205595424,10.721240876775603,0.8594083668547623,0.5645320197044333,0.1778279410038923
raw_intensity,pH,fluorescence_only,29,7.273336136560735,9.423564063790298,0.8913825147908196,0.6684729064039406,1.7782794100389228
raw_intensity,pH,corrected_fluorescence,29,6.991531262001129,9.86591690491129,0.8809459221669144,0.669950738916256,5.623413251903491
raw_intensity,temperature,fluorescence_only,29,7.273336136560735,9.423564063790298,0.8913825147908196,0.6684729064039406,1.7782794100389228
raw_intensity,temperature,corrected_fluorescence,29,7.4792204140498875,9.926142964850511,0.8794879648263938,0.6541871921182264,10.0
raw_intensity,DO,fluorescence_only,29,7.273336136560735,9.423564063790298,0.8913825147908196,0.6684729064039406,1.7782794100389228
raw_intensity,DO,corrected_fluorescence,29,14.059691867965563,23.00500787646273,0.3526872797384466,0.5970443349753694,56.23413251903491
raw_intensity,ORP,fluorescence_only,29,7.273336136560735,9.423564063790298,0.8913825147908196,0.6684729064039406,1.7782794100389228
raw_intensity,ORP,corrected_fluorescence,29,8.357702861799373,11.768005261399889,0.8306149500401738,0.5591133004926107,17.78279410038923
raw_intensity,turbidity,fluorescence_only,29,7.273336136560735,9.423564063790298,0.8913825147908196,0.6684729064039406,1.7782794100389228
raw_intensity,turbidity,corrected_fluorescence,29,8.169931316218037,11.066753726269733,0.8502006738481636,0.5103448275862068,3.1622776601683795
normalized_shape,salinity,fluorescence_only,29,11.562516713495537,14.70628851972592,0.7354696339538649,0.6477832512315269,1.7782794100389228
normalized_shape,salinity,corrected_fluorescence,29,12.707145069456685,16.593247698062065,0.6632309581949177,0.673399014778325,3.1622776601683795
normalized_shape,pH,fluorescence_only,29,11.562516713495537,14.70628851972592,0.7354696339538649,0.6477832512315269,1.7782794100389228
normalized_shape,pH,corrected_fluorescence,29,10.248678884093394,13.86496346660415,0.7648706583113476,0.6576354679802954,1.7782794100389228
normalized_shape,temperature,fluorescence_only,29,11.562516713495537,14.70628851972592,0.7354696339538649,0.6477832512315269,1.7782794100389228
normalized_shape,temperature,corrected_fluorescence,29,10.99562660651784,15.579645854324752,0.7031175457765424,0.6477832512315269,3.1622776601683795
normalized_shape,DO,fluorescence_only,29,11.562516713495537,14.70628851972592,0.7354696339538649,0.6477832512315269,1.7782794100389228
normalized_shape,DO,corrected_fluorescence,29,15.16378719603655,25.135299525269588,0.22725269604227372,0.4798029556650245,56.23413251903491
normalized_shape,ORP,fluorescence_only,29,11.562516713495537,14.70628851972592,0.7354696339538649,0.6477832512315269,1.7782794100389228
normalized_shape,ORP,corrected_fluorescence,29,13.586621727624218,21.454425328942513,0.4370068106946887,0.5536945812807881,10.0
normalized_shape,turbidity,fluorescence_only,29,11.562516713495537,14.70628851972592,0.7354696339538649,0.6477832512315269,1.7782794100389228
normalized_shape,turbidity,corrected_fluorescence,29,14.661787431195489,19.370044295008565,0.5410867506112038,0.49901477832512303,10.0
mechanistic_ratio,salinity,fluorescence_only,29,18.77161461362644,29.596448563450576,-0.07139242258430167,-0.8660098522167486,1000.0
mechanistic_ratio,salinity,corrected_fluorescence,29,18.767901337767203,29.599335081478188,-0.0716014168725787,-0.8369458128078816,1000.0
mechanistic_ratio,pH,fluorescence_only,29,18.77161461362644,29.596448563450576,-0.07139242258430167,-0.8660098522167486,1000.0
mechanistic_ratio,pH,corrected_fluorescence,29,18.77408939266439,29.598892222057536,-0.07156935093385841,-0.8837438423645319,1000.0
mechanistic_ratio,temperature,fluorescence_only,29,18.77161461362644,29.596448563450576,-0.07139242258430167,-0.8660098522167486,1000.0
mechanistic_ratio,temperature,corrected_fluorescence,29,18.779449695203628,29.601095015278204,-0.07172885241235472,-0.8600985221674875,1000.0
mechanistic_ratio,DO,fluorescence_only,29,18.77161461362644,29.596448563450576,-0.07139242258430167,-0.8660098522167486,1000.0
mechanistic_ratio,DO,corrected_fluorescence,29,18.161797985838994,29.062564842972897,-0.033087834070172795,-0.3788177339901477,56.23413251903491
mechanistic_ratio,ORP,fluorescence_only,29,18.77161461362644,29.596448563450576,-0.07139242258430167,-0.8660098522167486,1000.0
mechanistic_ratio,ORP,corrected_fluorescence,29,18.45460178643953,29.443262606872853,-0.06033045081309818,-0.558128078817734,1000.0
mechanistic_ratio,turbidity,fluorescence_only,29,18.77161461362644,29.596448563450576,-0.07139242258430167,-0.8660098522167486,1000.0
mechanistic_ratio,turbidity,corrected_fluorescence,29,18.763267685293666,29.593747535879483,-0.071196876931783,-0.8773399014778324,1000.0
raw_intensity,salinity+pH,corrected_fluorescence,29,7.054376717649875,9.894314254455118,0.8802595823464823,0.6532019704433496,5.623413251903491
raw_intensity,salinity+pH+temperature,corrected_fluorescence,29,7.788417904117402,10.687718264997226,0.8602861813937849,0.6591133004926107,10.0
raw_intensity,salinity+pH+temperature+DO+ORP+turbidity,corrected_fluorescence,29,11.278822264087422,17.165323344211007,0.6396094902152962,0.6645320197044333,17.78279410038923
